Date,Name,Year,Letterboxd URI,Rating,Review,Tags,Watched Date
2017-04-27,Oldboy,2003,https://letterboxd.com/jojonium/film/oldboy/,5,"Good camerawork and nice music. Perhaps it's just a cultural thing, but character actions and motivations don't always make a ton of sense. The action scenes are very well shot and well choreographed. The multiple-minute hallway fight scene with a lateral tracking shot without any cuts was honestly pretty impressive. The plot is very intriguing, and the writing is pretty good. There's some nice imagery too, especially near the end. 10/10 ending.",netflix,2017-04-26
2017-04-27,"Godzilla, King of the Monsters!",1956,https://letterboxd.com/jojonium/film/godzilla-king-of-the-monsters/,4,"The shot direction and practical effects are actually pretty good, all things considered. Godzilla is pretty terrifying. The American editors cleverly spliced new scenes into the original film, and deleted some of the old ones, to basically make an totally new story. Godzilla suffers without some of the political statements of the original, but most of the message is basically intact.",,2017-04-26
2017-04-27,Come Together,2016,https://letterboxd.com/jojonium/film/come-together-2016/,3.5,Quintessential Wes Anderson. What more do I have to say?,youtube,2017-04-26
2017-04-27,Bottle Rocket,1994,https://letterboxd.com/jojonium/film/bottle-rocket/,3,"It's interesting to see how Wes Anderson's style evolved, but honestly this short film just wasn't very good. It feels like something a talented, but inexperienced film student made. The writing is alright, but the acting is mediocre. Some shots are good, but overall the shot composition is lacking.",Youtube,2017-04-26
2017-04-27,Moonrise Kingdom,2012,https://letterboxd.com/jojonium/film/moonrise-kingdom/,4,"Wes Anderson is a truly talented director. He really knows how to capture that magical feeling of childhood. His sets feel like dollhouses and miniatures because of his unique camerawork. The 10/10 music also complements this feeling. The child actor's aren't very good, but most of the adults are great.",netflix,2017-04-26
2017-04-27,Captain America: Civil War,2016,https://letterboxd.com/jojonium/film/captain-america-civil-war/,0.5,I think I just like torturing myself.,netflix,2017-04-26
2017-04-28,Paperman,2012,https://letterboxd.com/jojonium/film/paperman/,4,It's cute and minimalist with really nice animation. What more can I say?,Youtube,2017-04-27
2017-04-28,Doodlebug,1997,https://letterboxd.com/jojonium/film/doodlebug/,3.5,It's a neat little short. I enjoyed it.,Youtube,2017-04-27
2017-04-28,Naked Lunch,1991,https://letterboxd.com/jojonium/film/naked-lunch/,3.5,"This movie is a literary high.
Music, set design, and costumes are all quite nice. The practical effects are also pretty good. The lighting and shot direction are good. I feel like I'm missing the main part of this movie. I understand the surface level, but I'm barely grasping at hints of the deeper layer. Maybe if I rewatch it a few times I'll start to get it more.",,2017-04-27
2017-04-28,Oklahoma City,2017,https://letterboxd.com/jojonium/film/oklahoma-city/,1.5,"It's pretty informative about the events at Ruby Ridge, Waco, and Oklahoma City, but it puts a very obvious spin on it. Some of the information about The Turner Diaries is outright false, and they try to spin the feds as the ""good guys."" They totally gloss over the death of Sam Weaver, then spend a quarter of the film talking about the kids that died in Oklahoma City. The cinematography is nothing special, pretty standard interviews, stock footage, and news broadcasts. The music is bland and uninspired.",netflix,2017-04-27
2017-04-29,A Noble Lie: Oklahoma City 1995,2011,https://letterboxd.com/jojonium/film/a-noble-lie-oklahoma-city-1995/,3,"There are clips from Info Wars in this documentary, so you kind of already know what direction it's going to go in. It takes a very different stance than the PBS documentary (not surprisingly). While <i>Oklahoma City</i> (2017) goes full on fed-fellating, <i>A Noble Lie</i> instead quickly recounts the official story, then goes into great detail into all the ways the Federal Government and the media have lied about the events.
Unfortunately, the cinematography and sound design is just mediocre.",youtube,2017-04-28
2017-04-30,Inception,2010,https://letterboxd.com/jojonium/film/inception/,4.5,"Modern filmmakers seem to have some disease where it's physically impossible for them to make an action scene without using more cuts than an edgy teenager.
This is honestly a good movie, but it would be a great movie if it weren't for the uninspired action scenes, filled with shaky cam and stupid quips. Aside of the action sequences, there are some very clever connections between different parts of the film that make it very enjoyable to rewatch. The imagery is very creative, and most of the visuals are pretty amazing. The concept is cool, and executed well. The plot can be a little confusing at times, but it all ends up tying together nicely to make sense. Some of the rules of the dream world were kind of inconsistent (when do drops work?) The music is great, and and the ending is 10/10.",,2017-04-29
2017-04-30,Killer Klowns from Outer Space,1988,https://letterboxd.com/jojonium/film/killer-klowns-from-outer-space/,5,Literally a masterpiece of modern cinema,,2017-04-29
2017-05-03,Hot Fuzz,2007,https://letterboxd.com/jojonium/film/hot-fuzz/,4.5,"Very creative use of clever match cuts for comedic purposes. The rapid cuts and great sound design lead to some creative gags. However, the fast camera movement makes some action scenes hard to follow. Great choice of music, writing is clever, and overall it works very well as a comedy.",netflix,2017-05-02
2017-05-04,Shaun of the Dead,2004,https://letterboxd.com/jojonium/film/shaun-of-the-dead/,4,"Edgar Wright is good at using creative and unconventional techniques to create comedy.  The writing is pretty good, and the acting is above average. The tone is inconsistent, and swings wildly from tragedy to comedy, which can be kind of jarring.",,2017-05-03
2017-05-05,Train to Busan,2016,https://letterboxd.com/jojonium/film/train-to-busan/,4,"The plot is nothing special, standard zombie affair. Characters are pretty generic archetypes, but they interact well together. Even though they were generic, the characters are written and acted so well that they made me really like some of them. It manages to create some very intense and emotional moments. Visual style and shot direction are nice. Bonus points for always being bright and colorful too. The brief CGI sequences are pretty bad. I like that they kept in the tight, cramped urban environment. It was different from most zombie movies, and contributed to the tension.",netflix,2017-05-04
2017-05-06,Primer,2004,https://letterboxd.com/jojonium/film/primer/,4.5,"Interesting concept, reminds me a lot of Steins;Gate. The acting is alright from the main leads, but side characters are pretty mediocre. The excessive film grain can be annoying, but the shot composition is generally good. It's pretty hard to follow the plot, but I think I understood it.  The writing is good, and the dialogue usually feels natural. It's hard to hear sometimes though.",,2017-05-05
2017-05-06,Watchmen,2009,https://letterboxd.com/jojonium/film/watchmen/,4,"Zack Snyder sure likes his slow-mo. This is what superhero movies truly can be. The plot is great and well written, most of the characters are interesting and have realistic motivations, and the dialogue is actually decent. The fight scenes are well directed and aren't plagued by quick-cuts. The soundtrack is nice, but all the original songs are forgettable. The ending is god-tier. Even the shot direction and imagery are pretty good. However, the special effects and CGI have not aged well. Likewise, the animation in the Black Sails segments is mediocre. Overall, this sets a high standard for superhero movies that is rarely matched.",,2017-05-05
2017-05-07,Zootopia,2016,https://letterboxd.com/jojonium/film/zootopia/,3,"The animation and lighting are pretty nice, as expected of Disney. The characters are pretty generic archetypes, but the voice actors do a good job of fleshing out their personality. It falls into a lot of children's movie cliches, and the plot is very predictable. Disney isn't even trying to hide the fact that they're pushing an agenda now.",netflix,2017-05-06
2017-05-07,We're Back! A Dinosaur's Story,1993,https://letterboxd.com/jojonium/film/were-back-a-dinosaurs-story/,2,"Pretty standard affair for a kid's movie. Animation is decent, although the backgrounds are lackluster and the CGI has not aged well. The voice acting is average, and character designs are nothing new. The plot is safe and predictable, and the writing is uninspired. Some moments are legitimately funny, and I think it still holds up as a decent children's movie.",netflix,2017-05-06
2017-05-09,Heathers,1988,https://letterboxd.com/jojonium/film/heathers/,3,"Snappy dialogue, interesting moral dilemmas, and nice costume design. The plot is original and engaging. However, most of the characters are clichés, and the set design is nothing special. Acting is meh.",,2017-05-07
2017-05-21,12 Angry Men,1957,https://letterboxd.com/jojonium/film/12-angry-men/,4.5,"Great acting and writing make for a very compelling character-driven narrative. Despite taking place almost entirely in one room, the directing keeps it very engaging. Some of the messages the film tries to get across can be a bit heavy-handed though.",,2017-05-20
2017-05-21,Vertigo,1958,https://letterboxd.com/jojonium/film/vertigo/,4.5,"Really great use of color and shot composition. The plot and writing were very engaging, the acting was good, the characters were interesting, and the story was never predictable or boring. Unfortunately, I feel the ending could have been executed better.",,2017-05-20
2017-05-21,Tickled,2016,https://letterboxd.com/jojonium/film/tickled/,4,"I came in expecting to be surprised, and it still surprised me. The subject matter is incredibly interesting and unique, and the storytelling and cinematography make it very compelling.",,2017-05-20
2017-05-23,The Void,2016,https://letterboxd.com/jojonium/film/the-void-2016/,4,"It's nice to see that horror movies with good practical effects and minimal CGI still exist. The cinematography was good throughout as well, with well-composed shots and good use of lighting (except for the strobe effects, which were awful). The plot isn't very original, but it manages to pull it off well. For a horror movie, it wasn't particularly scary, but the creature designs and effects were good. The visuals are really what make this movie. That ending triggered me.",,2017-05-22
2017-05-23,Sound of My Voice,2011,https://letterboxd.com/jojonium/film/sound-of-my-voice/,4,"Good acting and nice use of music, for an indie film. The lighting and cinematography felt very much like an indie film though. Plays with some interesting themes and ideas about faith and control. At first I didn't like the ending, but the more I think about it the more perfect it seems. There's a lot of good suspense throughout, but it doesn't really build  up to any answers. It toes the line between intelligent and pretentious.",,2017-05-22
2017-05-24,Grease,1978,https://letterboxd.com/jojonium/film/grease/,3.5,"Good acting, great set design, and decent choreography along with really catchy songs make for a very enjoyable experience. The plot is nothing special, the characters are all archetypes, and it doesn't play with any deep or meaningful themes, but it's still fun to watch. The dialogue is snappy and well written, and I like the costume designs too.",netflix,2017-05-23
2017-05-24,The Lobster,2015,https://letterboxd.com/jojonium/film/the-lobster/,4.5,"It's like if those /tv/ memes about dystopian ""no singles"" policies became a movie. Pretty much everything is absolutely on point and working together for this film's message, from the camera work, to the acting (which I hated at first, but eventually I got it), to the set/costume design, to the music. It's slow, and honestly boring at times, but it's still fantastic.",,2017-05-23
2017-05-25,Escape from New York,1981,https://letterboxd.com/jojonium/film/escape-from-new-york/,4,"The plot synopsis tells you exactly what to expect from this movie, and that's what you get. I understand that on a purely critical level it isn't very good. But that doesn't matter. The main character is named Snake Plissken.",,2017-05-24
2017-05-25,The Lego Batman Movie,2017,https://letterboxd.com/jojonium/film/the-lego-batman-movie/,4.5,"Really fantastic animation, snappy dialogue, good lighting and camerawork, nice voice acting, and cool action make this a really fun movie to watch. At times the pacing is too fast and it can be hard to tell what's going on, but these are only in a few shots. The animation and set designs are just as clever and dynamic as <i>The Lego Movie</i>.",,2017-05-24
2017-05-25,[REC],2007,https://letterboxd.com/jojonium/film/rec/,4,"One of the better found footage films I've seen, it effectively uses the in-universe camera to create tension. Despite rarely speaking, the protagonist and camera-operator is quite likable, unlike every other character. The beginning and buildup to zombie horror is slow and adds a lot of atmosphere. The acting is pretty good, and the long times between cuts make it more impressive. There are a few cheap jump scares, but the film overall did rattle me.",,2017-05-24
2017-05-25,Stop Making Sense,1984,https://letterboxd.com/jojonium/film/stop-making-sense/,4.5,"I've liked the Talking Heads for a long time, so I'm surprised I hadn't seen this until now. It's very simple and straightforward, just a concert caught on film. But the progression of both the band and the costumes and dances, props, lighting, and backdrops match the songs perfectly to create a kind of subconscious narrative.",,2017-05-24
2017-05-25,Re-Animator,1985,https://letterboxd.com/jojonium/film/re-animator/,2.5,"This film plays with an interesting concept, and has the potential for greatness, but its role as a cheesy 80s horror movie don't let it fulfill that potential. The acting is hammy all around, the plot starts interesting but ends up cartoonish, and none of the characters have any depth. The music is derivative, and the visuals are generic. At least the prosthetics and effects are decent (aside of the cat).",,2017-05-24
2017-05-27,Shutter Island,2010,https://letterboxd.com/jojonium/film/shutter-island/,4.5,"Good story and writing, well directed. The mediocre acting detracts from it a little. The twist ending is great, but I wish they had left it more ambiguous. The holocaust stuff was kind of cringeworthy. These are all just small nitpicks on a great story though.",,2017-05-25
2017-05-27,Star Wars: The Force Awakens,2015,https://letterboxd.com/jojonium/film/star-wars-the-force-awakens/,1,"Holy shit the writing is atrocious. It's 50% stupid quips and 50% frogpost-worthy clichés. The whole plot was set up just to wallow in fans' nostalgia for the original Star Wars. The cinematography is boring and generic, there's loads of unnecessary CGI, and the set/character design is either ugly or copied directly from the original. The protagonists are a unlikable Mary Sue and an annoying idiot, and neither of them can act. Actually, none of the acting is very good. Everything in the plot seems to happen just by sheer coincidence, in order to keep the plot moving forward to make sure little Timmy doesn't lose interest if there's ever five nanoseconds without any action. The plot and characters and just a rehash of the original Star Wars. How do we raise the stakes after the Death Star? Oh I know, just make a bigger Death Star!
Why are the rebels still fighting the new Empire despite everything that happened in the original trilogy? Why does Finn have a change of heart after seeing a single stormtrooper die, then seconds later gun down dozens of them? Why is Rey instantly a perfect pilot, ship mechanic, sharpshooter, saber fighter, climber, and force user without having any training?",,2017-05-26
2017-05-28,Seven Samurai,1954,https://letterboxd.com/jojonium/film/seven-samurai/,5,"It's amazing how well this holds up. It is still funny, exciting, and emotional even sixty years after it was made. The characters are compelling, the plot is simple but interesting, the directing is great, and the acting is fantastic.",,2017-05-27
2017-05-28,Blue Velvet,1986,https://letterboxd.com/jojonium/film/blue-velvet/,4,"This movie is strange, and subconscious. I think I understood some of the visuals, but I'd need to watch it again. Either way, great use of imagery in a film that's enjoyable both on the surface level, and on the subconscious.",,2017-05-27
2017-05-28,In the Mouth of Madness,1994,https://letterboxd.com/jojonium/film/in-the-mouth-of-madness/,4,"Except for a few cheesy bits, this still holds up and the practical effects still look great. Interesting plot, which plays with some interesting ideas. Some of the acting is kind of meh though, and it never really scared me.",,2017-05-27
2017-05-28,The Darjeeling Limited,2007,https://letterboxd.com/jojonium/film/the-darjeeling-limited/,4,"Classic Wes Anderson. A really compelling character-driven story, made even better by humorous writing, great acting, and Wes Anderson's signature directing style. The middle is kind of slow, but it gets where it needs to eventually.",,2017-05-27
2017-05-28,Birdman,2014,https://letterboxd.com/jojonium/film/birdman/,1,"The whole ""no cuts"" thing was cool at first, but the camera never staying still gets annoying after a while. No cuts means the camera has to be constantly orbiting around people. The cuts are always disguised really badly too, usually with shitty CGI.
Movies about actors always seem pretentious and self-fellating to me, and this is no exception. A lot of the writing isn't very good either. The supernatural stuff was what kept me interested, but it didn't end up going anywhere. All the characters are dicks, so I never cared about any of their problems. At least the acting is decent.",,2017-05-27
2017-05-28,The Fly,1986,https://letterboxd.com/jojonium/film/the-fly-1986/,4.5,"Great story and use of science (aside of some computer wizardry). Cronenberg uses amazing practical effects to tell a harrowing tale of curiosity gone too far. Good acting, nice music, and compelling characters. It was never scary, but it was certainly intense.",,2017-05-27
2017-05-29,Mad Max,1979,https://letterboxd.com/jojonium/film/mad-max/,2.5,"The plot is kind of a mess, and it's full of cheese and cliché, but the low-budget action has a certain charm to it.",,2017-05-28
2017-05-30,Millennium Actress,2001,https://letterboxd.com/jojonium/film/millennium-actress/,4.5,"Satoshi Kon has an amazing ability to weave together different narrative plot lines, points of view, distorted perceptions of reality, and timelines to form a coherent and surprisingly straightforward story. <i>Millennium Actress</i> a simple, timeless story fragmented and scattered across dozens of settings, each of which may or may not be real. The writing is great, and the characters are all endearing, interesting, and full of character. The music is great too, as expected of Susumu Hirasawa. Unfortunately, the animation is not Madhouse's best, and there are a lot of awkward looking frames and slide-show-like movements.",,2017-05-29
2017-05-30,Alien,1979,https://letterboxd.com/jojonium/film/alien/,4,"Amazing set design and use of lighting (aside from the strobes). The main character is well written and comes off as a real person, but some other characters are just annoying (I'm looking at you, token black guy). The practical effects are really good, the facehugger almost looked real. The plot is cliché by today's standards, but I can't fault it since it started the clichés.",,2017-05-29
2017-05-30,The Witch,2015,https://letterboxd.com/jojonium/film/the-witch-2015/,3,"Dude religion is bad lmao

""Hey we need a spooky soundtrack, what do we do?""
""I know, just hold one harsh chord for a solid minute, that'll sound spooky!""

The cinematography and use of color are actually pretty good, and the director gets bonus points for staying very accurate to the time period. Unfortunately, it's attached to a mediocre plot full of modern horror clichés.",,2017-05-29
2017-05-31,Johnny Got His Gun,1971,https://letterboxd.com/jojonium/film/johnny-got-his-gun/,4,"Really brutal and depressing, it uses these characteristics to tell a story about war and religion. The anti-war message is often shoved in your face with no subtlety though. The dream sequences and flashbacks are well done with some good symbolism. The movie could have been shorter, some parts felt like they dragged on too long and the message was practically spelled out for you by the end.",,2017-05-30
2017-05-31,Threads,1984,https://letterboxd.com/jojonium/film/threads/,4,"Wow, that was brutal. The camera work and voiceover make it feel like an actual documentary, and the black and white photographs help too. The sound design and sets are really bleak and depressing, along with the story. Some of the special effects look great (like the injuries), but some look really low budget and cheesy (like the actual bombing).",,2017-05-30
2017-05-31,Guardians of the Galaxy,2014,https://letterboxd.com/jojonium/film/guardians-of-the-galaxy/,1,"This has the same problems as almost every other Marvel movie: a bland and generic score, washed out visuals, annoying quip-filled dialogue, overuse of CGI, and as many clichés as they could fit. It's just another dumbed-down Disney blockbuster trash, aimed at the lowest common denominator. Every action scene is either fully CGI, or contains two cuts every second, or both. As if that wasn't bad enough, all the violence is utterly toothless. No main characters ever get injured, and the villains either die in a cartoonish way or offscreen. The most you'll get is a ""crunch"" sound effect and the implication of a broken bone off screen. As a result, nothing ever feels threatening or tense. There are no consequences in this universe. It seems like they were trying to not make this a kid's movie, with all the lame forced sexual references, but the action and plot still feels like it was written for (and by) 12 year olds. The pacing is faster and more frenetic than a squirrel with ADHD. They're constantly moving to a new location and set piece to keep the target audience of middle schoolers entertained. None of the main characters were likeable, most of them came off as dicks. The villain is a mustache-twirlingly evil just because the plot demands it.",,2017-05-30
2017-06-01,Aliens,1986,https://letterboxd.com/jojonium/film/aliens/,3.5,"It's <i>The Lost World</i> meets Alien. The plot feels contrived just to get the pervious protagonist back in a situation with the Aliens™. Some of the technology is pretty cool, and is implemented well with the practical effects. Most of the cast is a bunch of annoying generic marines who you know are going to die en masse as soon as the shit hits the fan. There's also a lot more ""stronk female protagonist who don't need no man"" going on. Great set design and lighting, just like the first movie. The aliens are just not as scary when there are dozens if then being mowed down every ten seconds, and the kid character was just kind of annoying.",,2017-05-31
2017-06-01,Only God Forgives,2013,https://letterboxd.com/jojonium/film/only-god-forgives/,4.5,"My second Refn movie, after Drive, I can see his directorial style very distinctly. Great set design, lighting, and color, dialogue only when absolutely necessary, slow pace and long pauses, bursts of brutal violence, amazing techno soundtracks, Ryan Gosling, etc.
The shot composition and use of color and lighting are amazing. Even with such little dialogue, the acting is great. At times it's a little too slow, but it's okay because it's so gorgeous to look at.",,2017-05-31
2017-06-03,Alien³,1992,https://letterboxd.com/jojonium/film/alien-3/,3,"Alright, by the third time telling basically the same story with the same protagonist (and killing off all the side characters from the previous movie), this plot is feeling a bit overdone.
It's nice to see Ripley's character fleshed out a little more, and the setting is better than Aliens. The set design is kind of bland though. The way the alien moves is amazing, but the way it's superimposed on the other images is awful, which is a shame. The special effects being so bad really detracts from what could have been great. Also the climax is confusing and too long.
The Alien movies have this problem of not being scary because none of the characters are scared. They're always angry instead of terrified. There were a few moments in Alien where Ripley was alone and scared, and those were the most tense and exciting parts.
How did the alien get on the ship after the events of Aliens? When did Ripley get a chestburster?",,2017-06-02
2017-06-03,Alien: Resurrection,1997,https://letterboxd.com/jojonium/film/alien-resurrection/,1,">Indian-tier CGI bug
""Oh jeez, late 90s CGI... It might still have a good plot at least--""
>Written by Joss Whedon
DROPPED

It's the late 90s, you know what that means? Terrible CGI! Aliens was an unnecessary sequel that had to be pulled out of the ass of a satisfying ending. Alien 3 was an unnecessary sequel to that. Nobody asked for this and we didn't need it. The story had a conclusive end, and Ripley's ending was important. The writing is really bad. Genetic memories, cloned Ripley, Walmart references, really weird dirty talk, stupid names, it's got everything. Sigourney Weaver is getting old. Where did the shady military guys get a sample of Ripley's blood? If the clone has memories because xenomorphs have genetic memory (which itself is ridiculous), how does she have Ripley's old memories? Ripley's brain was destroyed and all they had to work with was blood samples. Why do the xenomorphs now scream like dinosaurs and attack people who are in groups? ""Who do I have to fuck to get off this boat?"" The main character faces no danger, she has super powers, acid blood, and the xenomorphs don't attack her. Even if Call is supposed to be the protagonist, she can't get injured either. How is this supposed to be tense and scary when there is no threat? They didn't even make a physical full xenomorphs model, only the head. Have I mentioned that the writing is really bad? Because it is legitimately horrible. Why did the doctor want to bring the ship back to Earth? How did glasses-kun go berserk and become immune to bullets? Was the chestburster controlling him?
This is not an Alien movie. It is a shitty action flick that killed Alien and is wearing its skin.",,2017-06-02
2017-06-04,Prometheus,2012,https://letterboxd.com/jojonium/film/prometheus/,3,"<i>Prometheus</i> brings the Alien franchise boldly into the current year, complete with see-through computer monitors, unnecessary CGI, and interracial sex.
Although there were some tense moments, a lot of the plot just felt contrived. None of the characters felt very fleshed out, except for David. The production value is pretty high and the sets look nice. Although, why does the prequel to Alien have much more advanced technology than Alien did? The engineer is intelligent but has no logical motivations. Why did he want to kill Shaw so badly? Why did he want to destroy Earth? The ending leaves a lot of unanswered questions. ",,2017-06-03
2017-06-04,Raw,2016,https://letterboxd.com/jojonium/film/raw-2016/,3.5,"<i>Raw</i> is a documentary about average French college students.

This movie made me uncomfortable, and nothing makes me uncomfortable. It feels like the director was just going through a laundry list of all the worst fetishes: guro, scat, piss, incest, and of course vore. Although at times it feels like it was just being gross for the sake of grossness. There are a few things that I don't get (maybe it's because I'm not French), like the way certain characters behave. Why did the truck driver talk to them like that? But it did keep me interested and I was genuinely always wondering what would happen next. The cinematography is nothing special, but the music was nice.",,2017-06-03
2017-06-04,Predator,1987,https://letterboxd.com/jojonium/film/predator/,5,"""Buncha slack-jawed faggots around here. This stuff will make you a goddamn sexual tyrannosaurus.""
If testosterone were a movie, it would be Predator.",,2017-06-03
2017-06-05,Clue,1985,https://letterboxd.com/jojonium/film/clue/,5,"What an unexpected gem. To think that a film bases on a board game could be so great. It's consistently funny, the acting is great, the writing is clever, and it's all very enjoyable to watch. The 3 different endings was an interesting way to go, and while it was confusing I think it was a good decision.",,2017-06-04
2017-06-05,Battleship,2012,https://letterboxd.com/jojonium/film/battleship/,2,"Of all the directors you would want to imitate, why Michael Bay? The excessive lens flair, the big sweeping shots with lots if things moving, the fetish for blue lights, even the plot and characters are very Bayish. But while Bay movies survive on nonstop action and explosions, <i>Battleship</i> makes us sit through half an hour of boring character drama before even getting a glimpse of the alien ships. The characters are all very one dimensional and I didn't end up caring about any of them. The CGI ranges from passable at best to SFM porn quality at worst. I was only in this for the cool naval combat action, but it's a full 45 minutes in before the first shot is even fired. The alien design is boring and uninspired, and the alien ship designs are pretty messy. The wait was too long, but the climax with the Missouri was actually pretty cool. And of course, the obligatory ""It Ain't Me"" starts playing during the credits",,2017-06-04
2017-06-05,Jodorowsky's Dune,2013,https://letterboxd.com/jojonium/film/jodorowskys-dune/,4,"A really great documentary about the greatest movie never made. The interviews are interesting, Jodorowsky himself is practically a mythical artist, and the animation and cinematography keep it engaging. The subject matter is fascinating, some of the greatest creative minds of the 20th century getting together to create the greatest science fiction film of all time. Chris Foss, H. R. Giger, Dan O'Bannon, Orson Welles, Salvador Dali, and Alejandro Jodorowsky. Dune could have been a cultural event bigger than Star Wars.",,2017-06-04
2017-06-05,Predator 2,1990,https://letterboxd.com/jojonium/film/predator-2/,4,"Not quite as manly as the original, and not as many classic one liners, but there are still some great action sequences it's enjoyable to watch. The government plan to capture the predator actually makes sense, but in the end it's pure masculine determination that saves the day. The special effects are still cheesy, and the acting is still hammy. The setting change helps keep things fresh, and gives us lots of opportunities for creative new kills.",,2017-06-04
2017-06-06,Mad Max 2: The Road Warrior,1981,https://letterboxd.com/jojonium/film/mad-max-2-the-road-warrior/,4,"The themes, elements, and aesthetics introduced in Mad Max are fully realized here in the sequel. The action scenes are technically impressive and very entertaining, the story isn't very original, but frames the conflict well. The characters and costume designs are great for the setting. It's a basic action movie done very well.",,2017-06-05
2017-06-06,The Blair Witch Project,1999,https://letterboxd.com/jojonium/film/the-blair-witch-project/,2.5,"I never feel sympathy for people who get stuck in bad situations because of their own stupidity and incompetence. It's certainly atmospheric and even kind of spooky at times, but it's all build up and no payoff. The film just ends right as it was getting to the best part. The ""legend"" is just a mix of random scary elements with no cohesive theme. The characters consistently make bad decisions, and scream and swear too much and are generally unlikable.",,2017-06-05
2017-06-06,Big Trouble in Little China,1986,https://letterboxd.com/jojonium/film/big-trouble-in-little-china/,4,"A funny, cheesy, and action packed adventure through a stylish Chinatown that would probably be called racist today. The acting and writing are bad, but that's okay. The music is great. Every Chinese person is either a kung fu master or a sorcerer. Jack Burton is just an average action hero who only wants his truck back. It's wacky, it's colorful, it's a classic. ",,2017-06-05
2017-06-07,The Blues Brothers,1980,https://letterboxd.com/jojonium/film/the-blues-brothers/,5,"So many quotable lines, the music is great, the acting is good, the destruction and action is over the top and wacky, and the style is fabulous. What more could you ask for?",,2017-06-06
